tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
Tfh	134	n_bin1	0	10	0-10 Kb	#003648
Tfh	199	n_bin2	10	100	10-100 Kb	#006479
Tfh	32	n_bin3	100	250	100-250 Kb	#0096a0
Tfh	20	n_bin4	250	1000	250-1000 Kb	#49bcbc
Tfh	0	n_bin5	1000	30000	> 1000Kb	#96ced3
iPSC	225	n_bin1	0	10	0-10 Kb	#003648
iPSC	314	n_bin2	10	100	10-100 Kb	#006479
iPSC	62	n_bin3	100	250	100-250 Kb	#0096a0
iPSC	50	n_bin4	250	1000	250-1000 Kb	#49bcbc
iPSC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
heart_left_ventricle	232	n_bin1	0	10	0-10 Kb	#003648
heart_left_ventricle	310	n_bin2	10	100	10-100 Kb	#006479
heart_left_ventricle	52	n_bin3	100	250	100-250 Kb	#0096a0
heart_left_ventricle	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
heart_left_ventricle	1	n_bin5	1000	30000	> 1000Kb	#96ced3
Treg	286	n_bin1	0	10	0-10 Kb	#003648
Treg	471	n_bin2	10	100	10-100 Kb	#006479
Treg	109	n_bin3	100	250	100-250 Kb	#0096a0
Treg	76	n_bin4	250	1000	250-1000 Kb	#49bcbc
Treg	0	n_bin5	1000	30000	> 1000Kb	#96ced3
nerve_tibial	599	n_bin1	0	10	0-10 Kb	#003648
nerve_tibial	756	n_bin2	10	100	10-100 Kb	#006479
nerve_tibial	148	n_bin3	100	250	100-250 Kb	#0096a0
nerve_tibial	75	n_bin4	250	1000	250-1000 Kb	#49bcbc
nerve_tibial	1	n_bin5	1000	30000	> 1000Kb	#96ced3
T_CD8_pos	249	n_bin1	0	10	0-10 Kb	#003648
T_CD8_pos	380	n_bin2	10	100	10-100 Kb	#006479
T_CD8_pos	83	n_bin3	100	250	100-250 Kb	#0096a0
T_CD8_pos	48	n_bin4	250	1000	250-1000 Kb	#49bcbc
T_CD8_pos	1	n_bin5	1000	30000	> 1000Kb	#96ced3
muscle	601	n_bin1	0	10	0-10 Kb	#003648
muscle	785	n_bin2	10	100	10-100 Kb	#006479
muscle	195	n_bin3	100	250	100-250 Kb	#0096a0
muscle	113	n_bin4	250	1000	250-1000 Kb	#49bcbc
muscle	2	n_bin5	1000	30000	> 1000Kb	#96ced3
skin_not_sun_exposed	381	n_bin1	0	10	0-10 Kb	#003648
skin_not_sun_exposed	480	n_bin2	10	100	10-100 Kb	#006479
skin_not_sun_exposed	81	n_bin3	100	250	100-250 Kb	#0096a0
skin_not_sun_exposed	39	n_bin4	250	1000	250-1000 Kb	#49bcbc
skin_not_sun_exposed	2	n_bin5	1000	30000	> 1000Kb	#96ced3
prostate	118	n_bin1	0	10	0-10 Kb	#003648
prostate	140	n_bin2	10	100	10-100 Kb	#006479
prostate	25	n_bin3	100	250	100-250 Kb	#0096a0
prostate	25	n_bin4	250	1000	250-1000 Kb	#49bcbc
prostate	0	n_bin5	1000	30000	> 1000Kb	#96ced3
lung	333	n_bin1	0	10	0-10 Kb	#003648
lung	368	n_bin2	10	100	10-100 Kb	#006479
lung	65	n_bin3	100	250	100-250 Kb	#0096a0
lung	46	n_bin4	250	1000	250-1000 Kb	#49bcbc
