group1	group2	p	p_adjust	significant
scE2G (Multiome) (all_matches)	scE2G (scATAC) (all_matches)	8.70960522368866e-07	1.3064407835533e-05	TRUE
scE2G (Multiome) (all_matches)	ABC (A=scATAC, C=power law) (all_matches)	0.000124628346180524	0.00186942519270787	TRUE
scE2G (Multiome) (all_matches)	In element (ABC) & distance to TSS (all_matches)	8.89423278492084e-35	1.33413491773813e-33	TRUE
scE2G (Multiome) (all_matches)	STARE (gABC, power law) (all_matches)	9.74092871504671e-36	1.46113930725701e-34	TRUE
scE2G (Multiome) (all_matches)	ENCODE-rE2G (A=DNase, C=average Hi-C) (all_matches)	1.15811909471932e-14	1.73717864207898e-13	TRUE
scE2G (scATAC) (all_matches)	ABC (A=scATAC, C=power law) (all_matches)	0.295827868319569	1	FALSE
scE2G (scATAC) (all_matches)	In element (ABC) & distance to TSS (all_matches)	6.43825881327312e-14	9.65738821990968e-13	TRUE
scE2G (scATAC) (all_matches)	STARE (gABC, power law) (all_matches)	2.45993019014429e-14	3.68989528521644e-13	TRUE
scE2G (scATAC) (all_matches)	ENCODE-rE2G (A=DNase, C=average Hi-C) (all_matches)	6.57733566910163e-07	9.86600350365244e-06	TRUE
ABC (A=scATAC, C=power law) (all_matches)	In element (ABC) & distance to TSS (all_matches)	2.58219199195603e-17	3.87328798793405e-16	TRUE
ABC (A=scATAC, C=power law) (all_matches)	STARE (gABC, power law) (all_matches)	8.10682328648311e-18	1.21602349297247e-16	TRUE
ABC (A=scATAC, C=power law) (all_matches)	ENCODE-rE2G (A=DNase, C=average Hi-C) (all_matches)	2.92884836992904e-08	4.39327255489356e-07	TRUE
In element (ABC) & distance to TSS (all_matches)	STARE (gABC, power law) (all_matches)	0.969216955083829	1	FALSE
In element (ABC) & distance to TSS (all_matches)	ENCODE-rE2G (A=DNase, C=average Hi-C) (all_matches)	0.456228689915302	1	FALSE
STARE (gABC, power law) (all_matches)	ENCODE-rE2G (A=DNase, C=average Hi-C) (all_matches)	0.467831707731054	1	FALSE
