Biosample	threshold	GTExTissue	nVariantGenePairsOverlappingEnhancers	nVariantsOverlappingEnhancersCorrectGene	total.variants	recall.total	recall.linking	correctGene.ifOverlap	method	enrichment	CI_enr_low	CI_enr_high	SE_log_enr	p_adjust_enr	nPoints	pred_name_long	score_threshold	key	hex
BMMC22_CD4_pos_T_naive	-202027.959183673	Treg	209	181	955	0.218848167539267	0.189528795811518	0.866028708133971	ABC_distanceToTSS	7.30329471513183	6.46118913268315	8.25515436876287	0.0625073731049444	1.04143688872066e-103	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-202027.959183673	Treg	178	158	955	0.186387434554974	0.16544502617801	0.887640449438202	ABC_distanceToTSS	7.75357026939305	6.76435154404555	8.88745233463447	0.0696375116040015	1.30378308744232e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-202027.959183673	Treg	210	185	955	0.219895287958115	0.193717277486911	0.880952380952381	ABC_distanceToTSS	7.62918535159376	6.75211215167897	8.62018696097928	0.062310177196626	1.02535494499258e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-185913.142857143	Treg	216	185	955	0.226178010471204	0.193717277486911	0.856481481481482	ABC_distanceToTSS	7.4235366833126	6.5850199953476	8.36882757036774	0.0611532736483972	4.89660470670782e-109	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-185913.142857143	Treg	209	180	955	0.218848167539267	0.18848167539267	0.861244019138756	ABC_distanceToTSS	7.37428792620423	6.52399604575674	8.33540088577013	0.0625074070239431	1.82683867749956e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-185913.142857143	Treg	177	156	955	0.185340314136126	0.163350785340314	0.88135593220339	ABC_distanceToTSS	7.78112549076632	6.78503266345	8.92345209024647	0.0698900010856108	2.89957275458959e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
PBMC_22_CD4.M	-185913.142857143	Treg	210	184	955	0.219895287958115	0.192670157068063	0.876190476190476	ABC_distanceToTSS	7.69947532908198	6.81432094387608	8.69960790391268	0.0623102106133826	1.93526990443731e-108	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_22_CD4.M)	#3B3F47
BMMC22_CD4_pos_T_activated	-181825.163265306	Treg	214	185	955	0.224083769633508	0.193717277486911	0.864485981308411	ABC_distanceToTSS	7.37802587738097	6.53977103390837	8.3237265593947	0.0615337591608054	2.20291090735143e-107	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_activated)	#96A0B3
BMMC22_CD4_pos_T_naive	-181825.163265306	Treg	209	180	955	0.218848167539267	0.18848167539267	0.861244019138756	ABC_distanceToTSS	7.39850412244261	6.54541984633624	8.36277344079608	0.0625074185939104	1.01228598653836e-104	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (BMMC22_CD4_pos_T_naive)	#78808F
PBMC_20_CD4.N1	-181825.163265306	Treg	177	156	955	0.185340314136126	0.163350785340314	0.88135593220339	ABC_distanceToTSS	7.80521899452346	6.80604167822779	8.95108293964092	0.0698900148581158	1.81811104698881e-89	99	In element (ABC (A=scATAC)) & distance to TSS	-54190	In element (ABC (A=scATAC)) & distance to TSS (PBMC_20_CD4.N1)	#59606B
