tissue	var_count	distance_bin	distance_min	distance_max	distance_label	hex
iPSC	315	n_bin2	10	100	10-100 Kb	#006479
iPSC	63	n_bin3	100	250	100-250 Kb	#0096a0
iPSC	50	n_bin4	250	1000	250-1000 Kb	#49bcbc
iPSC	0	n_bin5	1000	30000	> 1000Kb	#96ced3
heart_left_ventricle	233	n_bin1	0	10	0-10 Kb	#003648
heart_left_ventricle	312	n_bin2	10	100	10-100 Kb	#006479
heart_left_ventricle	52	n_bin3	100	250	100-250 Kb	#0096a0
heart_left_ventricle	33	n_bin4	250	1000	250-1000 Kb	#49bcbc
heart_left_ventricle	1	n_bin5	1000	30000	> 1000Kb	#96ced3
nerve_tibial	603	n_bin1	0	10	0-10 Kb	#003648
nerve_tibial	759	n_bin2	10	100	10-100 Kb	#006479
nerve_tibial	149	n_bin3	100	250	100-250 Kb	#0096a0
nerve_tibial	75	n_bin4	250	1000	250-1000 Kb	#49bcbc
nerve_tibial	2	n_bin5	1000	30000	> 1000Kb	#96ced3
muscle	603	n_bin1	0	10	0-10 Kb	#003648
muscle	786	n_bin2	10	100	10-100 Kb	#006479
muscle	195	n_bin3	100	250	100-250 Kb	#0096a0
muscle	113	n_bin4	250	1000	250-1000 Kb	#49bcbc
muscle	2	n_bin5	1000	30000	> 1000Kb	#96ced3
skin_not_sun_exposed	381	n_bin1	0	10	0-10 Kb	#003648
skin_not_sun_exposed	482	n_bin2	10	100	10-100 Kb	#006479
skin_not_sun_exposed	81	n_bin3	100	250	100-250 Kb	#0096a0
skin_not_sun_exposed	39	n_bin4	250	1000	250-1000 Kb	#49bcbc
skin_not_sun_exposed	2	n_bin5	1000	30000	> 1000Kb	#96ced3
prostate	119	n_bin1	0	10	0-10 Kb	#003648
prostate	140	n_bin2	10	100	10-100 Kb	#006479
prostate	25	n_bin3	100	250	100-250 Kb	#0096a0
prostate	25	n_bin4	250	1000	250-1000 Kb	#49bcbc
prostate	0	n_bin5	1000	30000	> 1000Kb	#96ced3
lung	335	n_bin1	0	10	0-10 Kb	#003648
lung	370	n_bin2	10	100	10-100 Kb	#006479
lung	66	n_bin3	100	250	100-250 Kb	#0096a0
lung	47	n_bin4	250	1000	250-1000 Kb	#49bcbc
