group1	group2	metric	group1_mean	group2_mean	delta_group1_minus_groups2	p	p_adjust	significant
granular_unmatched	granular_similar	recall.linking	0.0734008671578479	0.117257875366461	-0.043857008208613	1.0747170918333e-36	3.2241512754999e-36	TRUE
granular_unmatched	granular_any_exact	recall.linking	0.0734008671578479	0.1421644654379	-0.0687635982800523	3.25330522917704e-29	9.75991568753111e-29	TRUE
granular_any_exact	granular_similar	recall.linking	0.1421644654379	0.117257875366461	0.0249065900714393	2.25379679565198e-06	6.76139038695593e-06	TRUE
